miner_id,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio
M39,0.018810456444076043,40,38,2,0.05,0.02,0.021134593993325918,1.0632384205806222,1.1235556168538279
M40,0.008378677229520667,18,14,4,0.2222222222222222,0.009,0.00778642936596218,1.0741552339897067,0.9293148730599365
M41,0.006103506236242194,13,11,2,0.15384615384615385,0.0065,0.006117908787541713,1.0649616381815838,1.0023597176347585
M42,0.007681406375976459,19,19,0,0.0,0.0095,0.010567296996662959,1.236752690198917,1.3756982093425107
M43,0.001866230748639811,3,3,0,0.0,0.0015,0.0016685205784204673,0.8037591284428597,0.8940590972668073
M44,0.02036455068305088,36,30,6,0.16666666666666666,0.018,0.01668520578420467,0.8838888851587154,0.81932599662469
M45,0.0106408600022932,24,22,2,0.08333333333333333,0.012,0.012235817575083427,1.127728397649616,1.149889912323487
M46,0.02249845701724498,27,25,2,0.07407407407407407,0.0135,0.013904338153503892,0.600041149028678,0.6180129660823528
M47,0.01027182413515913,28,23,5,0.17857142857142858,0.014,0.012791991101223582,1.3629516837306244,1.2453475578342748
M48,0.025460539071053535,58,53,5,0.08620689655172414,0.029,0.029477196885428252,1.139017517228083,1.15776012452703
M49,0.022517754917801048,36,31,5,0.1388888888888889,0.018,0.017241379310344827,0.7993692117934186,0.7656793216412056
M50,1.4482022336568201e-05,0,0,0,0.0,0.0,0.0,0.0,0.0
M51,0.005573363480121908,13,12,1,0.07692307692307693,0.0065,0.006674082313681869,1.166261634143019,1.1974963300860981
M52,0.024191011164318325,51,43,8,0.1568627450980392,0.0255,0.023915461624026697,1.054110546549308,0.988609424450266
M53,0.012490187920892269,18,17,1,0.05555555555555555,0.009,0.009454949944382647,0.7205656197490631,0.7569902073744947
M54,0.02605361470432195,54,49,5,0.09259259259259259,0.027,0.027252502780867632,1.036324529491144,1.0460161896977314
M55,0.010561786552092736,22,21,1,0.045454545454545456,0.011,0.01167964404894327,1.0414904661958384,1.105839811412307
M56,0.0019410368885967517,0,0,0,0.0,0.0,0.0,0.0,0.0
M57,0.016728134021447634,43,42,1,0.023255813953488372,0.0215,0.02335928809788654,1.2852599083935012,1.396407278178003
M58,0.02068938335054803,38,36,2,0.05263157894736842,0.019,0.020022246941045607,0.9183453986073837,0.9677546498994736
M59,0.007169444681156208,13,11,2,0.15384615384615385,0.0065,0.006117908787541713,0.906625309082063,0.8533309146832115
M60,0.0023159082579130613,8,7,1,0.125,0.004,0.00389321468298109,1.7271841344892165,1.6810746581513507
M61,0.008838658350622912,15,11,4,0.26666666666666666,0.0075,0.006117908787541713,0.848545073525942,0.6921761815932786
M62,0.025620891734457946,51,47,4,0.0784313725490196,0.0255,0.02614015572858732,0.9952815172980354,1.0202672100374637
M63,0.02014537199646882,43,40,3,0.06976744186046512,0.0215,0.02224694104560623,1.0672426403329074,1.104320190736899
M64,0.0031356981864526317,6,6,0,0.0,0.003,0.0033370411568409346,0.9567247297463456,1.0642099329770252
M65,0.006547904465032597,10,10,0,0.0,0.005,0.0055617352614015575,0.7636030773969316,0.8493916322546514
M66,0.002685365013041516,4,2,2,0.5,0.002,0.0011123470522803114,0.744777708165173,0.41422564414080804
M67,0.0015917023633082714,1,1,0,0.0,0.0005,0.0005561735261401557,0.3141290806157853,0.3494205568584931
M68,0.021181314831245402,41,39,2,0.04878048780487805,0.0205,0.021690767519466074,0.967834157762465,1.024051986020677
M69,0.0047219006213382025,9,9,0,0.0,0.0045,0.005005561735261402,0.9530060797265751,1.0600735035890714
M70,0.014863596906722966,40,36,4,0.1,0.02,0.020022246941045607,1.3455693211751312,1.347066061243179
M71,0.011890578927731356,28,26,2,0.07142857142857142,0.014,0.014460511679644048,1.1774027223644281,1.216131844171108
M72,0.005067550340432791,14,13,1,0.07142857142857142,0.007,0.007230255839822024,1.3813380291752897,1.426775336030412
M73,0.019450518682170622,31,29,2,0.06451612903225806,0.0155,0.016129032258064516,0.7968939159554713,0.8292340436581387
M74,0.0034805271771320115,7,6,1,0.14285714285714285,0.0035,0.0033370411568409346,1.005594791213219,0.9587746301095368
M75,0.01710710751760671,35,30,5,0.14285714285714285,0.0175,0.01668520578420467,1.022966622615128,0.9753376347832141
M76,0.003096268205913306,4,4,0,0.0,0.002,0.002224694104560623,0.645938874474881,0.718508202975396
M77,0.011181827671492115,28,26,2,0.07142857142857142,0.014,0.014460511679644048,1.2520314577636327,1.293215394162341
M78,0.005657030293121001,10,10,0,0.0,0.005,0.0055617352614015575,0.8838559705222092,0.9831545834507334
M79,0.007169959990843302,10,9,1,0.1,0.005,0.005005561735261402,0.6973539610242538,0.6981296606471952
